"Gender","Clinical.Y.N","Feedback","ID"
"M","N","fit note requested last week updates since need work asap idea causing",1
"F","N","app logs randomly",2
"F","Y","shoulder pain radiating arm started last week worse morning affecting routine badly",3
"M","Y","eczema flared badly red itchy patches arms neck using creams doesnt seem help much really starting affect daytoday",4
"F","N","email verification arriving even though tried resending twice wondering common",5
"F","Y","experiencing migraine dull persistent finding hard manage work",6
"M","Y","started abdominal cramps last week mostly evening eating seems make worse especially anything fried really starting affect daytoday",7
"F","N","site log every minutes incredibly frustrating middle filling details talked friends theyve similar issues",8
"M","Y","experiencing chest tightness feels sharp",9
"F","N","keep trying log nhs app crashes every time open updated latest version restarted phone luck talked friends theyve similar issues",10
"F","Y","getting numbness fingers using keyboard long wondering carpal tunnel",11
"F","N","changed gp settings still shows old one check profile hoping get sorted soon",12
"M","N","cant update contact details button just doesnt respond hoping get sorted soon",13
"F","Y","got strange tingling left arm comes goes doesnt hurt exactly feels hard describe talked friends theyve similar issues",14
"F","Y","experiencing numbness fingers worsening never anything like",15
"F","N","prescription order disappeared even use different device",16
"F","N","cant reset password system tells sent reset link nothing arrives even junk folder",17
"M","N","tried calling support line just goes dead initial menu theres clear way get help talked friends theyve similar issues",18
"M","N","app logs randomly despite updating multiple times",19
"F","N","tried change gp online system gave error code explanation talked friends theyve similar issues",20
"F","N","login loop issue app keeps asking sign right never happened",21
"F","Y","experiencing joint stiffness feels sharp",22
"F","Y","last couple months persistent lower back pain thats worsened sitting long periods tried using heat packs real improvement talked friends theyve similar issues",23
"F","Y","sleep disturbed due abdominal cramps come go",24
"F","Y","experiencing shoulder discomfort gets worse night finding hard manage work",25
"M","N","keep getting error message despite updating multiple times",26
"F","N","support form just reloads page click submit really frustrating affecting routine badly",27
"F","N","system send verification email even resetting password",28
"M","Y","experiencing back pain dull persistent finding hard manage work",29
"M","Y","last couple months persistent lower back pain thats worsened sitting long periods tried using heat packs real improvement might worth checking others experiencing",30
"M","N","app logs randomly matter many times try",31
"F","Y","developed chest discomfort exertion sharp pressurelike feeling wondering common",32
"F","Y","experiencing back pain affecting daily life",33
"M","N","keep getting error message becoming really frustrating",34
"F","N","changed phone number gp surgery two weeks ago still showing old one account talked friends theyve similar issues",35
"F","Y","got strange tingling left arm comes goes doesnt hurt exactly feels hard describe hoping can resolved soon",36
"F","N","prescription list missing one regular meds now gone cant reorder might worth checking others experiencing",37
"M","N","system send verification email even use different device",38
"M","Y","chronic fatigue setting feel wiped even minor tasks never happened",39
"F","N","app doesnt seem support landscape mode problem using tablet keyboard attached talked friends theyve similar issues",40
"F","Y","pain chest walking stairs severe uncomfortable goes away rest dont history heart issues new sure next",41
"F","Y","theres tingling sensation fingers lasts hours time never happened",42
"M","Y","developed chest discomfort exertion sharp pressurelike feeling affecting routine badly",43
"F","N","every time try order repeat prescription get message saying service unavailable like days might worth checking others experiencing",44
"M","N","moved house updated address online still shows old one try book appointment sure next",45
"M","N","tried calling support line just goes dead initial menu theres clear way get help really starting affect daytoday",46
"F","Y","experiencing abdominal cramps worsening sure causing",47
"F","N","fit note request response matter many times try",48
"M","Y","experiencing leg weakness feels sharp finding hard manage work",49
"F","Y","knees clicking feel unstable sometimes painful bending hoping get sorted soon",50
"M","Y","experiencing numbness fingers constant never anything like",51
"M","Y","experiencing back pain worsening going weeks",52
"M","N","changed phone number gp surgery two weeks ago still showing old one account",53
"F","Y","pain chest walking stairs severe uncomfortable goes away rest dont history heart issues new might worth checking others experiencing",54
"F","N","every time update details revert back logging like changes arent saved hoping can resolved soon",55
"F","N","app logs randomly even resetting password",56
"F","Y","developed chest discomfort exertion sharp pressurelike feeling never happened",57
"M","N","profile save changes",58
"F","Y","experiencing shoulder discomfort feels sharp going weeks",59
"F","N","tried calling support line just goes dead initial menu theres clear way get help sure next",60
"F","Y","stomach issues every meal feels bloated gassy especially afternoon hoping get sorted soon",61
"F","Y","shoulder pain radiating arm started last week worse morning never happened",62
"F","Y","experiencing leg weakness constant sure causing",63
"M","N","email verification arriving even though tried resending twice hoping get sorted soon",64
"F","Y","experiencing abdominal cramps feels sharp",65
"M","Y","experiencing regular dizziness especially standing quickly started mildly become noticeable related medication side effects sure next",66
"F","N","prescription said sent pharmacy hasnt received anything yet wondering common",67
"F","N","app keeps crashing becoming really frustrating",68
"F","Y","experiencing numbness fingers constant sure causing",69
"F","N","app logs randomly even use different device",70
"M","N","cant log despite updating multiple times",71
"F","N","every time try order repeat prescription get message saying service unavailable like days talked friends theyve similar issues",72
"F","Y","experiencing leg weakness gets worse night finding hard manage work",73
"F","N","address still wrong becoming really frustrating",74
"F","Y","knees become increasingly stiff painful particularly mornings sometimes make popping sound walk",75
"F","Y","experiencing joint stiffness feels sharp finding hard manage work",76
"F","N","login loop issue app keeps asking sign right hoping get sorted soon",77
"M","N","every time try order repeat prescription get message saying service unavailable like days",78
"F","Y","experiencing leg weakness dull persistent wondering see someone",79
"F","Y","experiencing joint stiffness started recently finding hard manage work",80
"M","Y","shoulder pain radiating arm started last week worse morning",81
"F","N","tried change gp online system gave error code explanation",82
"M","Y","got strange tingling left arm comes goes doesnt hurt exactly feels hard describe sure next",83
"M","Y","experiencing insomnia gets worse night finding hard manage work",84
"F","N","moved house updated address online still shows old one try book appointment",85
"M","Y","theres tingling sensation fingers lasts hours time affecting routine badly",86
"F","N","keeps saying session expired even just logged happens almost every time try book appointment might worth checking others experiencing",87
"F","Y","chronic fatigue setting feel wiped even minor tasks",88
"F","N","cant update contact details button just doesnt respond affecting routine badly",89
"F","Y","experiencing numbness fingers gets worse night never anything like",90
"M","N","prescription said sent pharmacy hasnt received anything yet idea causing",91
"M","Y","experiencing chest tightness feels sharp never anything like",92
"M","N","support form just reloads page click submit really frustrating idea causing",93
"M","Y","experiencing dizziness started recently going weeks",94
"F","N","email verification arriving even though tried resending twice never happened",95
"F","N","fit note requested last week updates since need work asap hoping get sorted soon",96
"M","Y","experiencing regular dizziness especially standing quickly started mildly become noticeable related medication side effects",97
"M","N","prescriptions tab showing anymore used work fine wondering common",98
"M","N","submitted request fit note havent received confirmation followup need urgently work talked friends theyve similar issues",99
"F","N","tried calling support line just goes dead initial menu theres clear way get help",100
"F","Y","experiencing joint stiffness worsening never anything like",101
"M","Y","theres tingling sensation fingers lasts hours time wondering common",102
"M","N","app keeps crashing matter many times try",103
"F","Y","experiencing abdominal cramps feels sharp wondering see someone",104
"M","N","keep trying log nhs app crashes every time open updated latest version restarted phone luck really starting affect daytoday",105
"M","Y","dizziness started affecting ability concentrate work affecting routine badly",106
"M","Y","developed chest discomfort exertion sharp pressurelike feeling hoping get sorted soon",107
"F","Y","experiencing dizziness worsening finding hard manage work",108
"M","N","profile save changes matter many times try",109
"F","Y","experiencing shoulder discomfort comes goes sure causing",110
"F","N","cant update contact details button just doesnt respond never happened",111
"F","N","app keeps crashing even resetting password",112
"F","Y","pain chest walking stairs severe uncomfortable goes away rest dont history heart issues new",113
"F","Y","dizziness started affecting ability concentrate work",114
"F","N","cant update contact details even use different device",115
"M","N","app keeps crashing",116
"F","N","address still wrong matter many times try",117
"F","Y","experiencing back pain gets worse night going weeks",118
"F","Y","experiencing abdominal cramps started recently",119
"F","Y","last couple months persistent lower back pain thats worsened sitting long periods tried using heat packs real improvement",120
"M","Y","experiencing chest tightness dull persistent",121
"F","N","app keeps asking verification code never sends one tried multiple times different devices sure next",122
"M","N","tried change gp online system gave error code explanation might worth checking others experiencing",123
"M","Y","experiencing insomnia gets worse night never anything like",124
"M","Y","experiencing back pain constant wondering see someone",125
"F","Y","headaches becoming frequent lasting hours mostly around temples never happened",126
"F","Y","knees clicking feel unstable sometimes painful bending never happened",127
"M","Y","feel exhausted time even full nights sleep also unexplained weight loss headaches might worth checking others experiencing",128
"F","N","every time update details revert back logging like changes arent saved sure next",129
"F","N","cant reset password system tells sent reset link nothing arrives even junk folder might worth checking others experiencing",130
"F","Y","experiencing joint stiffness comes goes",131
"M","N","changed gp settings still shows old one check profile affecting routine badly",132
